numitems,bitsperitem,instance_id,objective,use_lower_bound,diff,runtime
25,16,3,minimize-largest-sum,False,0.0,51.298257600000056
25,16,5,maximize-smallest-sum,True,1.0,31.93830400000013
25,32,2,minimize-largest-sum,False,55.0,30.557093899999927
25,16,1,minimize-largest-sum,False,1.0,29.413059599999997
25,48,1,minimize-largest-sum,False,4716868.0,26.704039100000045
25,32,2,maximize-smallest-sum,True,161.0,25.81616750000012
25,48,0,maximize-smallest-sum,True,43902648.0,25.56017880000013
25,32,4,minimize-largest-sum,True,145.0,25.200543299999936
25,32,0,minimize-largest-sum,True,491.0,24.292083899999852
25,32,1,maximize-smallest-sum,True,1.0,23.690523700000085
25,32,4,maximize-smallest-sum,True,1461.0,23.560634700000037
25,32,0,maximize-smallest-sum,True,2558.0,23.17632249999997
25,32,5,minimize-largest-sum,True,314.0,21.55770860000007
25,48,2,maximize-smallest-sum,True,181300508.0,21.515556199999992
25,16,3,minimize-largest-sum,True,1.0,21.252765700000054
25,32,1,minimize-largest-sum,True,223.0,20.703277600000092
25,16,0,minimize-largest-sum,False,0.0,19.871917499999995
25,16,2,maximize-smallest-sum,True,1.0,18.62979770000004
25,16,2,minimize-largest-sum,False,1.0,18.32825790000004
25,16,4,minimize-largest-sum,True,1.0,16.139632399999982
25,32,1,minimize-largest-sum,False,2650.0,16.094537199999877
25,16,4,maximize-smallest-sum,True,1.0,16.047621999999933
25,32,7,minimize-largest-sum,True,748.0,15.841518700000051
25,48,5,minimize-largest-sum,True,19983692.0,15.801960100000088
25,48,6,minimize-largest-sum,True,26537152.0,15.058600999999953
25,16,0,maximize-smallest-sum,True,0.0,14.689643500000102
25,32,0,minimize-largest-sum,False,1655.0,13.891740500000196
25,32,9,minimize-largest-sum,True,1270.0,13.31315440000003
25,32,3,minimize-largest-sum,True,120.0,13.03338870000016
25,16,5,minimize-largest-sum,True,1.0,12.700452700000142
25,16,3,maximize-smallest-sum,True,0.0,12.335921799999937
25,48,0,minimize-largest-sum,True,13922728.0,11.863008400000126
20,16,8,maximize-smallest-sum,False,0.0,11.558045399999997
20,16,9,maximize-smallest-sum,False,1.0,11.473311800000005
20,48,3,maximize-smallest-sum,False,2040938864.0,11.43403010000003
20,16,6,maximize-smallest-sum,False,1.0,11.366810299999997
20,16,4,maximize-smallest-sum,False,1.0,11.2739914
20,16,3,maximize-smallest-sum,False,1.0,11.161071500000006
20,16,7,maximize-smallest-sum,False,1.0,11.1372504
20,32,2,maximize-smallest-sum,False,44701.0,11.137240299999974
20,16,1,maximize-smallest-sum,False,0.0,11.108874500000002
20,32,0,maximize-smallest-sum,False,1845.0,11.0878582
20,32,4,maximize-smallest-sum,False,2317.0,11.080320799999981
20,32,5,maximize-smallest-sum,False,2290.0,11.026437799999997
20,16,5,maximize-smallest-sum,False,1.0,10.983256000000011
20,16,2,maximize-smallest-sum,False,1.0,10.978094800000001
20,48,4,maximize-smallest-sum,False,2156595539.0,10.968487400000015
25,48,4,maximize-smallest-sum,True,9941093.0,10.940857999999935
20,48,7,maximize-smallest-sum,False,2219643616.0,10.934688999999992
20,16,0,maximize-smallest-sum,False,0.0,10.918850599999999
20,32,1,maximize-smallest-sum,False,17092.0,10.89838420000001
25,48,3,minimize-largest-sum,True,65571793.0,10.879810200000065
20,48,8,maximize-smallest-sum,False,2117892739.0,10.858317999999997
20,48,2,maximize-smallest-sum,False,8309240.0,10.852908100000036
20,32,7,maximize-smallest-sum,False,69564.0,10.847327700000022
20,32,3,maximize-smallest-sum,False,15760.0,10.837167599999987
