numitems,bitsperitem,instance_id,objective,use_lower_bound,use_set_of_seen_states,diff,runtime
10,16,0,minimize-largest-sum,False,False,362.0,0.002080099999999918
10,16,0,minimize-largest-sum,False,True,95.0,0.001381100000000024
10,16,0,minimize-largest-sum,True,False,671.0,0.0025183999999999207
10,16,0,minimize-largest-sum,True,True,119.0,0.004807499999999965
10,16,0,maximize-smallest-sum,False,False,7.0,0.0010816999999999632
10,16,0,maximize-smallest-sum,False,True,449.0,0.0021223000000000214
10,16,0,maximize-smallest-sum,True,False,121.0,0.0015309000000000017
10,16,0,maximize-smallest-sum,True,True,871.0,0.0027340999999999616
10,16,1,minimize-largest-sum,False,False,494.0,0.0010318000000000271
10,16,1,minimize-largest-sum,False,True,77.0,0.0008268000000000164
10,16,1,minimize-largest-sum,True,False,27.0,0.0025791000000000563
10,16,1,minimize-largest-sum,True,True,120.0,0.0026001999999999414
10,16,1,maximize-smallest-sum,False,False,131.0,0.0009653999999998941
10,16,1,maximize-smallest-sum,False,True,70.0,0.002242199999999972
10,16,1,maximize-smallest-sum,True,False,1143.0,0.002286699999999975
10,16,1,maximize-smallest-sum,True,True,101.0,0.003703000000000012
10,16,2,minimize-largest-sum,False,False,46.0,0.0006886999999999865
10,16,2,minimize-largest-sum,False,True,150.0,0.0013935000000000475
10,16,2,minimize-largest-sum,True,False,404.0,0.001079500000000011
10,16,2,minimize-largest-sum,True,True,330.0,0.0027378000000000124
10,16,2,maximize-smallest-sum,False,False,1586.0,0.0018584999999999852
10,16,2,maximize-smallest-sum,False,True,41.0,0.0008317999999999381
10,16,2,maximize-smallest-sum,True,False,2467.0,0.0016793999999999976
10,16,2,maximize-smallest-sum,True,True,297.0,0.0023062999999999834
10,16,3,minimize-largest-sum,False,False,55.0,0.0009352000000000249
10,16,3,minimize-largest-sum,False,True,135.0,0.002140299999999984
10,16,3,minimize-largest-sum,True,False,1134.0,0.002060800000000085
10,16,3,minimize-largest-sum,True,True,69.0,0.0012495000000000145
10,16,3,maximize-smallest-sum,False,False,128.0,0.0010630999999999835
10,16,3,maximize-smallest-sum,False,True,71.0,0.001439799999999991
10,16,3,maximize-smallest-sum,True,False,591.0,0.0018711000000000144
10,16,3,maximize-smallest-sum,True,True,55.0,0.0015452999999998607
10,16,4,minimize-largest-sum,False,False,122.0,0.0007444000000000894
10,16,4,minimize-largest-sum,False,True,325.0,0.0013179999999999303
10,16,4,minimize-largest-sum,True,False,39.0,0.0016124000000001804
10,16,4,minimize-largest-sum,True,True,611.0,0.001617399999999991
10,16,4,maximize-smallest-sum,False,False,528.0,0.0013324000000001224
10,16,4,maximize-smallest-sum,False,True,403.0,0.0024165000000000436
10,16,4,maximize-smallest-sum,True,False,114.0,0.0012544000000000999
10,16,4,maximize-smallest-sum,True,True,352.0,0.001578199999999974
10,16,5,minimize-largest-sum,False,False,166.0,0.0013016000000001249
10,16,5,minimize-largest-sum,False,True,560.0,0.000905900000000015
10,16,5,minimize-largest-sum,True,False,574.0,0.0025303999999999327
10,16,5,minimize-largest-sum,True,True,6.0,0.002104600000000012
10,16,5,maximize-smallest-sum,False,False,87.0,0.0016975999999999658
10,16,5,maximize-smallest-sum,False,True,342.0,0.000981099999999957
10,16,5,maximize-smallest-sum,True,False,140.0,0.0021806999999998133
10,16,5,maximize-smallest-sum,True,True,133.0,0.0016599000000001585
10,16,6,minimize-largest-sum,False,False,66.0,0.0010025999999998536
10,16,6,minimize-largest-sum,False,True,188.0,0.0015825000000000422
10,16,6,minimize-largest-sum,True,False,1029.0,0.001824300000000001
10,16,6,minimize-largest-sum,True,True,2.0,0.00309130000000013
10,16,6,maximize-smallest-sum,False,False,381.0,0.002650700000000006
10,16,6,maximize-smallest-sum,False,True,119.0,0.0023887000000000214
10,16,6,maximize-smallest-sum,True,False,229.0,0.0024878999999999873
10,16,6,maximize-smallest-sum,True,True,39.0,0.006258600000000003
10,16,7,minimize-largest-sum,False,False,168.0,0.0013136000000000259
10,16,7,minimize-largest-sum,False,True,1007.0,0.002060299999999904
10,16,7,minimize-largest-sum,True,False,1020.0,0.0014528000000000318
10,16,7,minimize-largest-sum,True,True,151.0,0.0033874000000000404
10,16,7,maximize-smallest-sum,False,False,127.0,0.0025218000000000185
10,16,7,maximize-smallest-sum,False,True,66.0,0.0008995999999998894
10,16,7,maximize-smallest-sum,True,False,774.0,0.0016703000000000134
10,16,7,maximize-smallest-sum,True,True,142.0,0.0027422999999999753
10,16,8,minimize-largest-sum,False,False,328.0,0.0008183000000001606
10,16,8,minimize-largest-sum,False,True,828.0,0.001181399999999888
10,16,8,minimize-largest-sum,True,False,10.0,0.0023903999999999037
10,16,8,minimize-largest-sum,True,True,791.0,0.0012087999999998988
10,16,8,maximize-smallest-sum,False,False,143.0,0.0022007000000001664
10,16,8,maximize-smallest-sum,False,True,756.0,0.002005100000000093
10,16,8,maximize-smallest-sum,True,False,231.0,0.001599000000000128
10,16,8,maximize-smallest-sum,True,True,282.0,0.002242499999999925
10,16,9,minimize-largest-sum,False,False,279.0,0.0009935999999999279
10,16,9,minimize-largest-sum,False,True,239.0,0.0011798999999999005
10,16,9,minimize-largest-sum,True,False,220.0,0.0014007000000000325
10,16,9,minimize-largest-sum,True,True,746.0,0.0014110999999998874
10,16,9,maximize-smallest-sum,False,False,148.0,0.0020523999999999543
10,16,9,maximize-smallest-sum,False,True,15.0,0.0008912999999999283
10,16,9,maximize-smallest-sum,True,False,228.0,0.0017172000000000853
10,16,9,maximize-smallest-sum,True,True,187.0,0.0020275999999999073
10,32,0,minimize-largest-sum,False,False,67941319.0,0.0009269000000000638
10,32,0,minimize-largest-sum,False,True,11358089.0,0.0010487000000001245
10,32,0,minimize-largest-sum,True,False,27779769.0,0.001845399999999886
10,32,0,minimize-largest-sum,True,True,8873522.0,0.0011493000000000198
10,32,0,maximize-smallest-sum,False,False,7660890.0,0.0019051999999999403
10,32,0,maximize-smallest-sum,False,True,22977667.0,0.0010424999999998352
10,32,0,maximize-smallest-sum,True,False,17445060.0,0.001973099999999839
10,32,0,maximize-smallest-sum,True,True,34863508.0,0.0015363999999999933
10,32,1,minimize-largest-sum,False,False,6337069.0,0.001173100000000149
10,32,1,minimize-largest-sum,False,True,4635394.0,0.002292900000000042
10,32,1,minimize-largest-sum,True,False,12724249.0,0.003072900000000045
10,32,1,minimize-largest-sum,True,True,117561706.0,0.0018329999999999735
10,32,1,maximize-smallest-sum,False,False,51055785.0,0.0014111000000001095
10,32,1,maximize-smallest-sum,False,True,36103714.0,0.0019230999999999554
10,32,1,maximize-smallest-sum,True,False,1014307.0,0.005597700000000039
10,32,1,maximize-smallest-sum,True,True,89102844.0,0.004067800000000066
