numitems,bitsperitem,algorithm,instance_id,diff,runtime
10,4,complete-karmarkar-karp-kg,0,1.0,0.0060090999999999
10,4,complete-karmarkar-karp-kg,1,0.0,0.0027631999999999
10,4,complete-karmarkar-karp-kg,2,0.0,0.0034654
10,4,complete-karmarkar-karp-kg,3,0.0,0.0037880999999999
10,4,complete-karmarkar-karp-kg,4,0.0,0.0032999999999998
10,4,complete-karmarkar-karp-kg,5,0.0,0.0032877
10,4,complete-karmarkar-karp-kg,6,1.0,0.0036240999999999
10,4,complete-karmarkar-karp-kg,7,0.0,0.0028622999999998
10,4,complete-karmarkar-karp-kg,8,1.0,0.0033377999999999
10,4,complete-karmarkar-karp-kg,9,0.0,0.0036698000000001
10,8,complete-karmarkar-karp-kg,0,1.0,0.0025546000000002
10,8,complete-karmarkar-karp-kg,1,4.0,0.0043519999999999
10,8,complete-karmarkar-karp-kg,2,13.0,0.0037804999999999
10,8,complete-karmarkar-karp-kg,3,3.0,0.0024844000000001
10,8,complete-karmarkar-karp-kg,4,2.0,0.0030933000000001
10,8,complete-karmarkar-karp-kg,5,2.0,0.0030548000000001
10,8,complete-karmarkar-karp-kg,6,1.0,0.0032898999999999
10,8,complete-karmarkar-karp-kg,7,1.0,0.0036241999999999
10,8,complete-karmarkar-karp-kg,8,4.0,0.0042059999999999
10,8,complete-karmarkar-karp-kg,9,1.0,0.0045063
10,12,complete-karmarkar-karp-kg,0,135.0,0.0059709999999997
10,12,complete-karmarkar-karp-kg,1,6.0,0.0021113999999999
10,12,complete-karmarkar-karp-kg,2,141.0,0.0017841
10,12,complete-karmarkar-karp-kg,3,216.0,0.0036221999999996
10,12,complete-karmarkar-karp-kg,4,328.0,0.0035688
10,12,complete-karmarkar-karp-kg,5,34.0,0.0031572000000004
10,12,complete-karmarkar-karp-kg,6,336.0,0.0023729999999999
10,12,complete-karmarkar-karp-kg,7,84.0,0.0037886999999998
10,12,complete-karmarkar-karp-kg,8,7.0,0.0022819000000002
10,12,complete-karmarkar-karp-kg,9,8.0,0.0031596
10,16,complete-karmarkar-karp-kg,0,89.0,0.0038336000000001
10,16,complete-karmarkar-karp-kg,1,230.0,0.0036304999999998
10,16,complete-karmarkar-karp-kg,2,338.0,0.0033034
10,16,complete-karmarkar-karp-kg,3,409.0,0.0059399999999998
10,16,complete-karmarkar-karp-kg,4,988.0,0.0021938999999999
10,16,complete-karmarkar-karp-kg,5,6860.0,0.0027349
10,16,complete-karmarkar-karp-kg,6,496.0,0.0035226999999999
10,16,complete-karmarkar-karp-kg,7,284.0,0.0044351000000002
10,16,complete-karmarkar-karp-kg,8,840.0,0.0021645000000001
10,16,complete-karmarkar-karp-kg,9,882.0,0.0033739999999999
10,20,complete-karmarkar-karp-kg,0,750.0,0.0034586999999999
10,20,complete-karmarkar-karp-kg,1,72074.0,0.0025535000000003
10,20,complete-karmarkar-karp-kg,2,10569.0,0.0045723999999998
10,20,complete-karmarkar-karp-kg,3,17759.0,0.0037321999999999
10,20,complete-karmarkar-karp-kg,4,23410.0,0.0033956000000001
10,20,complete-karmarkar-karp-kg,5,99416.0,0.0032297000000003
10,20,complete-karmarkar-karp-kg,6,1281.0,0.0033763000000002
10,20,complete-karmarkar-karp-kg,7,28435.0,0.0056931999999996
10,20,complete-karmarkar-karp-kg,8,37301.0,0.0033466000000004
10,20,complete-karmarkar-karp-kg,9,15095.0,0.0032323000000005
12,4,complete-karmarkar-karp-kg,0,1.0,0.0138997999999999
12,4,complete-karmarkar-karp-kg,1,1.0,0.0104019000000006
12,4,complete-karmarkar-karp-kg,2,1.0,0.0128339000000003
12,4,complete-karmarkar-karp-kg,3,0.0,0.0112297999999997
12,4,complete-karmarkar-karp-kg,4,1.0,0.0133118000000003
12,4,complete-karmarkar-karp-kg,5,1.0,0.0181751999999999
12,4,complete-karmarkar-karp-kg,6,0.0,0.0122860000000004
12,4,complete-karmarkar-karp-kg,7,0.0,0.0125777999999998
12,4,complete-karmarkar-karp-kg,8,0.0,0.0127815
12,4,complete-karmarkar-karp-kg,9,0.0,0.0125548000000002
12,8,complete-karmarkar-karp-kg,0,9.0,0.0168790999999997
12,8,complete-karmarkar-karp-kg,1,3.0,0.0110673999999999
12,8,complete-karmarkar-karp-kg,2,2.0,0.0112180999999997
12,8,complete-karmarkar-karp-kg,3,6.0,0.0138036000000001
12,8,complete-karmarkar-karp-kg,4,1.0,0.0124918000000002
12,8,complete-karmarkar-karp-kg,5,5.0,0.0122009999999992
12,8,complete-karmarkar-karp-kg,6,0.0,0.0107302999999996
12,8,complete-karmarkar-karp-kg,7,3.0,0.0161290000000002
12,8,complete-karmarkar-karp-kg,8,4.0,0.0123383000000005
12,8,complete-karmarkar-karp-kg,9,1.0,0.0162739000000007
12,12,complete-karmarkar-karp-kg,0,11.0,0.0126559999999997
