algorithm,numbins,numitems,bitsperitem,instance_id,diff,runtime
integer-programming,3,10,8,0,14.0,0.5082728999999999
integer-programming,3,10,8,1,5.0,0.21509919999999982
integer-programming,3,10,8,2,5.0,0.35945380000000005
integer-programming,3,10,8,3,7.0,0.3421677000000001
integer-programming,3,10,8,4,8.0,0.23628870000000024
integer-programming,3,10,8,5,13.0,0.252097
integer-programming,3,10,8,6,7.0,0.30264939999999996
integer-programming,3,10,8,7,3.0,0.4946885000000001
integer-programming,3,10,8,8,5.0,0.3790481999999997
integer-programming,3,10,8,9,2.0,0.3767705999999995
integer-programming,3,10,10,0,27.0,0.3880208999999999
integer-programming,3,10,10,1,14.0,0.41059469999999987
integer-programming,3,10,10,2,10.0,0.8477934999999999
integer-programming,3,10,10,3,19.0,0.3560846
integer-programming,3,10,10,4,15.0,0.3330302999999999
integer-programming,3,10,10,5,39.0,0.23168349999999993
integer-programming,3,10,10,6,42.0,0.43604909999999997
integer-programming,3,10,10,7,15.0,0.3200454000000006
integer-programming,3,10,10,8,150.0,0.32509679999999896
integer-programming,3,10,10,9,33.0,0.3324712999999999
integer-programming,3,10,12,0,53.0,0.30058769999999946
integer-programming,3,10,12,1,53.0,0.26813339999999997
integer-programming,3,10,12,2,145.0,0.42392070000000004
integer-programming,3,10,12,3,135.0,0.3322220999999992
integer-programming,3,10,12,4,166.0,0.48051829999999995
integer-programming,3,10,12,5,315.0,0.27046910000000146
integer-programming,3,10,12,6,38.0,0.28047369999999994
integer-programming,3,10,12,7,58.0,0.3142562000000009
integer-programming,3,10,12,8,203.0,0.5548875000000013
integer-programming,3,10,12,9,45.0,0.26435859999999956
integer-programming,3,10,16,0,288.0,0.2986103999999994
integer-programming,3,10,16,1,3874.0,0.34904589999999835
integer-programming,3,10,16,2,2602.0,0.45780820000000055
integer-programming,3,10,16,3,990.0,0.5157635999999997
integer-programming,3,10,16,4,2881.0,0.2831113000000016
integer-programming,3,10,16,5,3157.0,0.24240509999999915
integer-programming,3,10,16,6,506.0,0.33889190000000013
integer-programming,3,10,16,7,1243.0,0.28955169999999875
integer-programming,3,10,16,8,1001.0,0.42760510000000096
integer-programming,3,10,16,9,1872.0,0.34965580000000074
integer-programming,3,12,8,0,1.0,0.6427023999999992
integer-programming,3,12,8,1,3.0,0.774724299999999
integer-programming,3,12,8,2,3.0,0.5598548000000001
integer-programming,3,12,8,3,2.0,0.6762100000000011
integer-programming,3,12,8,4,2.0,0.7552555000000005
integer-programming,3,12,8,5,0.0,0.24091160000000045
integer-programming,3,12,8,6,1.0,0.8624344999999991
integer-programming,3,12,8,7,2.0,0.7726229000000018
integer-programming,3,12,8,8,4.0,0.5621376999999974
integer-programming,3,12,8,9,3.0,0.7577733000000002
integer-programming,3,12,10,0,44.0,0.4820694000000003
integer-programming,3,12,10,1,5.0,0.7571172999999973
integer-programming,3,12,10,2,5.0,0.7228718000000001
integer-programming,3,12,10,3,24.0,0.9203042000000003
integer-programming,3,12,10,4,3.0,1.0316407000000005
integer-programming,3,12,10,5,33.0,1.025475199999999
integer-programming,3,12,10,6,6.0,0.5858111999999984
integer-programming,3,12,10,7,7.0,0.7010099000000025
integer-programming,3,12,10,8,1.0,0.6445368999999985
integer-programming,3,12,10,9,17.0,0.3960684999999984
integer-programming,3,12,12,0,26.0,0.7459026000000009
integer-programming,3,12,12,1,47.0,0.6938545999999981
