numitems,bitsperitem,instance_id,objective,use_lower_bound,use_fast_lower_bound,use_set_of_seen_states,use_dynamic_programming,diff,runtime
10,16,0,minimize-largest-sum,False,False,False,False,0.0,0.0069552999999999
10,16,0,minimize-largest-sum,False,False,True,False,308.0,0.019376
10,16,0,minimize-largest-sum,False,True,False,False,60.0,0.0008976
10,16,0,minimize-largest-sum,False,True,True,False,297.0,0.0017189000000001
10,16,0,minimize-largest-sum,True,False,False,False,24.0,0.0023752999999999
10,16,0,minimize-largest-sum,True,False,True,False,105.0,0.0015186
10,16,0,minimize-largest-sum,True,True,False,False,3.0,0.0019214999999999
10,16,0,minimize-largest-sum,True,True,True,False,265.0,0.0013499999999999
10,16,0,maximize-smallest-sum,False,False,False,False,68.0,0.0168019999999999
10,16,0,maximize-smallest-sum,False,False,True,False,657.0,0.0159266999999998
10,16,0,maximize-smallest-sum,False,True,False,False,15.0,0.0011697999999999
10,16,0,maximize-smallest-sum,False,True,True,False,1520.0,0.0025003999999999
10,16,0,maximize-smallest-sum,True,False,False,False,450.0,0.0038241999999999
10,16,0,maximize-smallest-sum,True,False,True,False,216.0,0.0033368
10,16,0,maximize-smallest-sum,True,True,False,False,329.0,0.0014312999999999
10,16,0,maximize-smallest-sum,True,True,True,False,335.0,0.0030073000000001
10,16,1,minimize-largest-sum,False,False,False,False,1551.0,0.0155228
10,16,1,minimize-largest-sum,False,False,True,False,51.0,0.0162113000000001
10,16,1,minimize-largest-sum,False,True,False,False,529.0,0.0008202000000001
10,16,1,minimize-largest-sum,False,True,True,False,27.0,0.0015887000000001
10,16,1,minimize-largest-sum,True,False,False,False,20.0,0.0022284000000001
10,16,1,minimize-largest-sum,True,False,True,False,435.0,0.0034319
10,16,1,minimize-largest-sum,True,True,False,False,758.0,0.0018734
10,16,1,minimize-largest-sum,True,True,True,False,1128.0,0.0038198
10,16,1,maximize-smallest-sum,False,False,False,False,101.0,0.0235639999999999
10,16,1,maximize-smallest-sum,False,False,True,False,36.0,0.0162491
10,16,1,maximize-smallest-sum,False,True,False,False,104.0,0.0026675
10,16,1,maximize-smallest-sum,False,True,True,False,5.0,0.0008533000000001
10,16,1,maximize-smallest-sum,True,False,False,False,151.0,0.0022446
10,16,1,maximize-smallest-sum,True,False,True,False,1000.0,0.0028071
10,16,1,maximize-smallest-sum,True,True,False,False,296.0,0.0037408
10,16,1,maximize-smallest-sum,True,True,True,False,482.0,0.0032370000000003
10,16,2,minimize-largest-sum,False,False,False,False,59.0,0.0156188999999997
10,16,2,minimize-largest-sum,False,False,True,False,552.0,0.0156434999999999
10,16,2,minimize-largest-sum,False,True,False,False,179.0,0.0028852999999999
10,16,2,minimize-largest-sum,False,True,True,False,49.0,0.0012012999999999
10,16,2,minimize-largest-sum,True,False,False,False,76.0,0.0017485999999999
10,16,2,minimize-largest-sum,True,False,True,False,140.0,0.0019409000000001
10,16,2,minimize-largest-sum,True,True,False,False,381.0,0.0017083000000002
10,16,2,minimize-largest-sum,True,True,True,False,600.0,0.0036185999999998
10,16,2,maximize-smallest-sum,False,False,False,False,401.0,0.0161906000000002
10,16,2,maximize-smallest-sum,False,False,True,False,32.0,0.0165443
10,16,2,maximize-smallest-sum,False,True,False,False,191.0,0.0011795999999999
10,16,2,maximize-smallest-sum,False,True,True,False,258.0,0.0024331000000001
10,16,2,maximize-smallest-sum,True,False,False,False,41.0,0.0051979000000002
10,16,2,maximize-smallest-sum,True,False,True,False,481.0,0.0040553999999999
10,16,2,maximize-smallest-sum,True,True,False,False,117.0,0.0021808
10,16,2,maximize-smallest-sum,True,True,True,False,130.0,0.0021909999999998
10,16,3,minimize-largest-sum,False,False,False,False,42.0,0.0150455999999996
10,16,3,minimize-largest-sum,False,False,True,False,1118.0,0.0221580000000001
10,16,3,minimize-largest-sum,False,True,False,False,98.0,0.0016319
10,16,3,minimize-largest-sum,False,True,True,False,530.0,0.0019612000000002
10,16,3,minimize-largest-sum,True,False,False,False,272.0,0.0020175
10,16,3,minimize-largest-sum,True,False,True,False,27.0,0.0019686999999999
10,16,3,minimize-largest-sum,True,True,False,False,105.0,0.0015681999999999
10,16,3,minimize-largest-sum,True,True,True,False,119.0,0.0030774
10,16,3,maximize-smallest-sum,False,False,False,False,158.0,0.0167764000000003
10,16,3,maximize-smallest-sum,False,False,True,False,616.0,0.0165740000000003
10,16,3,maximize-smallest-sum,False,True,False,False,140.0,0.0012121999999998
10,16,3,maximize-smallest-sum,False,True,True,False,74.0,0.0016664999999997
10,16,3,maximize-smallest-sum,True,False,False,False,77.0,0.0031332000000001
10,16,3,maximize-smallest-sum,True,False,True,False,203.0,0.0030203000000001
10,16,3,maximize-smallest-sum,True,True,False,False,223.0,0.0031714999999996
10,16,3,maximize-smallest-sum,True,True,True,False,703.0,0.0027965
10,16,4,minimize-largest-sum,False,False,False,False,930.0,0.0160650000000002
10,16,4,minimize-largest-sum,False,False,True,False,250.0,0.0166122999999998
10,16,4,minimize-largest-sum,False,True,False,False,46.0,0.0015995000000001
10,16,4,minimize-largest-sum,False,True,True,False,153.0,0.0009716000000001
10,16,4,minimize-largest-sum,True,False,False,False,63.0,0.0016125000000002
10,16,4,minimize-largest-sum,True,False,True,False,477.0,0.0037310000000001
10,16,4,minimize-largest-sum,True,True,False,False,752.0,0.0010593
10,16,4,minimize-largest-sum,True,True,True,False,1720.0,0.0025913000000001
10,16,4,maximize-smallest-sum,False,False,False,False,61.0,0.0159880000000001
10,16,4,maximize-smallest-sum,False,False,True,False,4.0,0.0162279
10,16,4,maximize-smallest-sum,False,True,False,False,96.0,0.0009638999999999
10,16,4,maximize-smallest-sum,False,True,True,False,90.0,0.0008888000000002
10,16,4,maximize-smallest-sum,True,False,False,False,619.0,0.0034400000000003
10,16,4,maximize-smallest-sum,True,False,True,False,332.0,0.0023015000000001
10,16,4,maximize-smallest-sum,True,True,False,False,90.0,0.0016211999999997
10,16,4,maximize-smallest-sum,True,True,True,False,7.0,0.0031118999999999
10,16,5,minimize-largest-sum,False,False,False,False,82.0,0.0139325999999999
10,16,5,minimize-largest-sum,False,False,True,False,0.0,0.0116782999999998
10,16,5,minimize-largest-sum,False,True,False,False,477.0,0.0015144
10,16,5,minimize-largest-sum,False,True,True,False,148.0,0.0009262999999997
10,16,5,minimize-largest-sum,True,False,False,False,369.0,0.0012696999999999
10,16,5,minimize-largest-sum,True,False,True,False,722.0,0.0018847000000001
10,16,5,minimize-largest-sum,True,True,False,False,52.0,0.0029339000000003
10,16,5,minimize-largest-sum,True,True,True,False,271.0,0.0017295999999999
10,16,5,maximize-smallest-sum,False,False,False,False,1465.0,0.0150460999999997
10,16,5,maximize-smallest-sum,False,False,True,False,417.0,0.0198955
10,16,5,maximize-smallest-sum,False,True,False,False,97.0,0.0008670999999997
10,16,5,maximize-smallest-sum,False,True,True,False,163.0,0.0013803000000001
10,16,5,maximize-smallest-sum,True,False,False,False,222.0,0.0020639999999998
