numitems,bitsperitem,algorithm,numbins,instance_id,diff,runtime
10,8,recursive-number-partitioning-kg,2,0,1.0,0.0036065
10,8,recursive-number-partitioning-kg,2,1,0.0,0.0022577999999999
10,8,recursive-number-partitioning-kg,2,2,1.0,0.0013205
10,8,recursive-number-partitioning-kg,2,3,1.0,0.0051303999999998
10,8,recursive-number-partitioning-kg,2,4,2.0,0.0067117
10,8,recursive-number-partitioning-kg,2,5,1.0,0.0071772999999999
10,8,recursive-number-partitioning-kg,2,6,16.0,0.0040258999999998
10,8,recursive-number-partitioning-kg,2,7,1.0,0.0039911999999999
10,8,recursive-number-partitioning-kg,2,8,0.0,0.0023545
10,8,recursive-number-partitioning-kg,2,9,1.0,0.003033
10,8,recursive-number-partitioning-kg,3,0,22.0,132.05467710000002
10,8,recursive-number-partitioning-sy,2,0,1.0,0.004839599999996835
10,8,recursive-number-partitioning-sy,2,1,0.0,0.005247900000000527
10,8,recursive-number-partitioning-sy,2,2,1.0,0.0030109000000209107
10,8,recursive-number-partitioning-sy,2,3,0.0,0.00015049999998950625
10,8,recursive-number-partitioning-sy,2,4,1.0,0.0027898000000163847
10,8,recursive-number-partitioning-sy,2,5,2.0,0.004946100000012166
10,8,recursive-number-partitioning-sy,2,6,0.0,0.0026422999999908825
10,8,recursive-number-partitioning-sy,2,7,2.0,0.005830499999973426
10,8,recursive-number-partitioning-sy,2,8,1.0,0.004781100000002425
10,8,recursive-number-partitioning-sy,2,9,3.0,0.005113799999975299
10,8,recursive-number-partitioning-sy,3,0,14.0,0.006188199999996868
10,8,recursive-number-partitioning-sy,3,1,10.0,0.0028083999999921616
10,8,recursive-number-partitioning-sy,3,2,3.0,0.007138800000006995
10,8,recursive-number-partitioning-sy,3,3,4.0,0.0065515000000004875
10,8,recursive-number-partitioning-sy,3,4,5.0,0.0070790999999985615
10,8,recursive-number-partitioning-sy,3,5,6.0,0.0123600999999951
10,8,recursive-number-partitioning-sy,3,6,13.0,0.009498400000012452
10,8,recursive-number-partitioning-sy,3,7,4.0,0.00792520000001673
10,8,recursive-number-partitioning-sy,3,8,56.0,0.05731199999999603
10,8,recursive-number-partitioning-sy,3,9,3.0,0.00866889999997511
