algorithm,numbins,numitems,bitsperitem,instance_id,diff,runtime
integer-programming,2,10,16,0,1431.0,0.3682902000000001
integer-programming,2,10,16,1,122.0,0.1010361999999998
integer-programming,2,10,16,2,621.0,0.09114999999999984
integer-programming,2,10,16,3,219.0,0.09779720000000003
integer-programming,2,10,16,4,851.0,0.10562039999999984
integer-programming,2,10,16,5,493.0,0.11445899999999964
integer-programming,2,10,16,6,376.0,0.08516920000000017
integer-programming,2,10,16,7,244.0,0.13206089999999993
integer-programming,2,10,16,8,85.0,0.08552729999999986
integer-programming,2,10,16,9,244.0,0.09777380000000013
integer-programming,2,10,24,0,136366.0,0.10711559999999976
integer-programming,2,10,24,1,54204.0,0.09253719999999976
integer-programming,2,10,24,2,10278.0,0.08666259999999948
integer-programming,2,10,24,3,50688.0,0.11219190000000001
integer-programming,2,10,24,4,28520.0,0.11572300000000002
integer-programming,2,10,24,5,37779.0,0.07816899999999993
integer-programming,2,10,24,6,103279.0,0.09878479999999978
integer-programming,2,10,24,7,47459.0,0.08969299999999958
integer-programming,2,10,24,8,44587.0,0.0826330000000004
integer-programming,2,10,24,9,24407.0,0.09688560000000024
integer-programming,2,10,32,0,12815803.0,0.13403200000000037
integer-programming,2,10,32,1,48622769.0,0.09457710000000041
integer-programming,2,10,32,2,14092332.0,0.08306049999999932
integer-programming,2,10,32,3,16043538.0,0.11557360000000028
integer-programming,2,10,32,4,2734667.0,0.12924359999999968
integer-programming,2,10,32,5,1321757.0,0.13141810000000032
integer-programming,2,10,32,6,638251.0,0.1026631999999994
integer-programming,2,10,32,7,13030232.0,0.1153341999999995
integer-programming,2,10,32,8,16439525.0,0.12118770000000012
integer-programming,2,10,32,9,14861496.0,0.10356539999999992
integer-programming,2,10,48,0,666245956739.0,0.07167789999999918
integer-programming,2,10,48,1,178429530179.0,0.060536100000000204
integer-programming,2,10,48,2,1520395533303.0,0.07939330000000044
integer-programming,2,10,48,3,313218347948.0,0.0804544000000007
integer-programming,2,10,48,4,1585512711795.0,0.10010139999999978
integer-programming,2,10,48,5,533724496354.0,0.05726790000000026
integer-programming,2,10,48,6,288011101298.0,0.1068017999999995
integer-programming,2,10,48,7,1275020427421.0,0.08788600000000013
integer-programming,2,10,48,8,1127058609575.0,0.03921829999999993
integer-programming,2,10,48,9,569942933541.0,0.08231520000000003
integer-programming,2,12,16,0,47.0,0.1148744000000006
integer-programming,2,12,16,1,25.0,0.1395274000000004
integer-programming,2,12,16,2,39.0,0.1632712999999999
integer-programming,2,12,16,3,160.0,0.19634840000000064
integer-programming,2,12,16,4,43.0,0.15524069999999934
integer-programming,2,12,16,5,6.0,0.15278599999999987
integer-programming,2,12,16,6,118.0,0.12961780000000012
integer-programming,2,12,16,7,85.0,0.1541920999999995
integer-programming,2,12,16,8,32.0,0.18740069999999953
integer-programming,2,12,16,9,189.0,0.15776649999999925
integer-programming,2,12,24,0,2078.0,0.15184570000000086
integer-programming,2,12,24,1,4741.0,0.12284030000000001
integer-programming,2,12,24,2,15994.0,0.13906329999999834
integer-programming,2,12,24,3,9463.0,0.19522469999999892
integer-programming,2,12,24,4,15242.0,0.1702174000000003
integer-programming,2,12,24,5,50706.0,0.16230119999999992
integer-programming,2,12,24,6,39688.0,0.17801749999999927
integer-programming,2,12,24,7,13456.0,0.15434199999999976
integer-programming,2,12,24,8,3243.0,0.17709569999999886
integer-programming,2,12,24,9,19550.0,0.15283089999999966
integer-programming,2,12,32,0,12606193.0,0.15533719999999995
integer-programming,2,12,32,1,2358828.0,0.17336690000000132
integer-programming,2,12,32,2,4155997.0,0.1329293000000007
integer-programming,2,12,32,3,3766901.0,0.2126248000000004
integer-programming,2,12,32,4,597745.0,0.16299560000000035
